template,text
DT JJ NN IN DT JJ,"['the cold-case murder of a mother-of-three', 'a significant reduction from the current', 'a squatting figure within a red', 'a different church for a traditional', ""the same mechanism as the body's"", 'the potential role of a high-level', 'a long-range penalty in the final', 'no clear opening in the middle', 'a final destination for the fatal', 'a later date after a pre-sentence', 'a 3-0 lead in the second', 'a heroic performance for the underdogs,', ""a 'massive club' with a 'big"", 'The fatal shooting of an unarmed', 'an extensive search in the local', 'the final test for the historic', ""a private box beside the country's"", 'a reasonable increase in the minimum', 'a British officer during the North', 'a 1-0 lead from the first', 'The first trailer for the upcoming', 'the preferred choice as a central', 'a strong foundation in the two-day', 'the bitter battle between the former', 'a clean sheet for the tenth', 'a long-time supporter of the Democratic', 'an impromptu rendition of the Last', 'another female student of a similar', 'the continuous guidance of a small-caliber', 'a red circle with a diagonal', 'a season-ticket holder for the past', 'the potential increase in the black', 'a similar show with a rival', 'a chain-mail shirt for a male', 'an $800 investment into a $1', 'a late replacement in the Canadian', 'a young girl on a social', 'a stunning eagle on the final', 'a good player with a strong', 'a good go against the Danish', 'a much-needed century on the second', 'the third minute with a clinical', 'The first leg of the quarter-final']"
JJ NN IN DT JJ NN,"['preferred choice as a central striker,', 'much-needed century on the second day', 'female student of a similar age.', 'long-range penalty in the final act', 'professional racing after a successful career.', 'final test for the historic X-47B,', ""'massive club' with a 'big history'"", '3-0 lead in the second set', ""similar show with a rival broadcaster.']"", 'third minute with a clinical finish,', '1-0 lead from the first leg,', 'past self as a self-proclaimed god,', 'extensive search in the local community,', 'squatting figure within a red circle', 'stunning eagle on the final hole', 'remarkable image of a cloud formation', 'reasonable increase in the minimum wage', 'red circle with a diagonal line', 'last year during a 14-night holiday', 'first trailer for the upcoming documentary', 'average £3,590 for a simple cremation,', 'strong foundation in the two-day fixture,', ""next move as a 'ridiculous circus.'"", ""same mechanism as the body's rejection"", 'chain-mail shirt for a male model', ""bitter battle between the former couple.']"", 'potential role of a high-level informant', 'potential increase in the black population,', 'new light on the evolutionary history', 'clean sheet for the tenth time', 'whale carpaccio in a convivial atmosphere.', 'last year after the key witness', 'significant reduction from the current £620.', 'later date after a pre-sentence report', 'continuous guidance of a small-caliber bullet', 'final destination for the fatal flight.', 'good player with a strong serve', 'good go against the Danish ace.', 'ice cream at a new housing', 'clear opening in the middle order.', 'common cause of a gear-up landing']"
DT NN IN DT NN NN,"['a member of a step team', 'a firearm onto a college campus.', 'the skull of a juvenile fossil.', 'the construction of an exit ramp', 'the attack in a video message', 'a mile from the bingo hall', 'the possibility of a terror attack.', 'a banner with a racist symbol,', 'a shop by a valet parking', 'the kernel of the operating system', 'the use of a default password,', 'the fight, at the press conference', 'The cause of the worm rainfall', 'The inspiration for the gold clothing', 'a fall during the run leg.', 'the car during a rest stop', 'a landfill, while the yellowtail jack', 'the sofa in the front room.', 'the making of a comedy show,', ""the belief that the women's movement"", 'the effectiveness of an eye ointment', 'A section of a fiberglass boat,', 'a letter from the school board', 'the announcement of the framework agreement', 'an application for a housing project', 'a body while a health worker', 'the squad after a hamstring problem,', 'the example of a gay man', 'the end of the cycling stage', 'the size of the labia minora,', 'the stadium for any football club', ""a drink in the cruise ship's"", 'the event of a hung parliament.', ""the remainder into the company's books."", 'the incident at an apartment complex', ""A video of a baby girl's"", 'a day in a kneeling position,']"
IN DT JJ NN IN NNP,"['in the Chinese city of Aershan,', 'in a 3-2 win over West', 'in the Syrian city of Raqqa', 'in the 2-0 win over Rayo', 'as a central striker, with Sterling', 'in the second leg on Wednesday.', 'after a goalless draw against Monaco', ""around a mile west of Hawaii's"", 'than the next resident of Number', 'with a religious service at Westminster', 'by an independent panel on April', 'for the first time at Leningrad', 'in a rural area of Brown', 'through a special program at Eastern', 'like the current chaos at Elland', 'on a Canadian reservation in August', 'before the official weigh-in on Friday,', 'near a creek bank after Jordan', 'Despite a poor start with Akhisar,', 'from a separate boat around Hawaii.""]', 'of the Protoaurignacian culture in Europe', 'that the forthcoming season of Game', 'in the second half, with United', 'from the east coast of Russia', 'for a fifth season, with Louis', 'in the nearby town of Chernobyl.', 'about the cosmological effect of Zayn', 'in a shallow grave in North', ""on the second day of England's"", 'in the small town of Needmore.', 'on a rainy night in Norwich.', 'of a similar campaign in China,', 'since the controversial shooting of Michael', 'with a 100-92 win over Oklahoma', 'with a main rally in Paris,', 'by the late-season impact of Arsenal', 'of the botched investigation on Sunday,', 'of the northern route from China', 'of some playful roughhousing from Sergio']"
NNP NNP NNP NNP CC NNP,"['Juventus, Paris St Germain, and Bayern', 'Aston Villa, Southampton, Everton, and West', 'Dead, Breaking Bad, Vikings, and House', 'Marco Silvestri, Souleymane Doukara and Edgar', 'Driver, David Elliot Moran, and Charles', 'Nina Mason Pulliam Recreation & Sports', 'Tory Burch, Suzy Menkes, and Karl', 'Yorkers Sandy Dee Hall and Maxine', 'City, Queens Park Rangers, and Crystal', 'Shih Tzus, Yorkshire Terriers, and Border', 'Barclays Premier League Player and Manager', 'Ashley Johnson, Sailosi Tagicakibau, and Alapati', 'Harry Kane, Diego Costa, and Sergio', 'Petra Kvitova, Caroline Wozniacki, and Makarova', ""Blue, Cotton On, H&M, and Zara.']"", 'Memphis Depay, Danny Ings, and James', ""Harrison Ford, Neil Armstrong, and Poldark\\'s"", 'France, Belgium, Malaysia, Thailand, and Papua', 'Dave Attwood, Jonathan Joseph, and Anthony', 'Madrid, Paris St Germain, and Bayern', 'Madison Brengle, Lucie Safarova, and Marina', 'Santorini, Madeira, Crete, Zakynthos, and Fuerteventura.', ""Paul Nuttall, Patrick O'Flynn, and Suzanne"", 'Jack Wilshere, Mikel Arteta, and Abou', 'Gareth Bale, Luka Modric, and Marcelo', 'La Liga, Serie A, and Ligue', 'Paul Scholes, Andrea Pirlo, and Xavi.', 'Thailand, Cambodia, Berlin, Paris, and Amsterdam', 'Robbie Fowler, Steve McManaman, and Steven', 'Tom Hardy, Vincent Cassel, and Gary', 'Amanda Holden, Charlize Theron, and Olivia', 'CIBC, Morgan Stanley, BlackRock, and Deutsche', 'Shamima Begum, Amira Abase, and Kadiza', 'Colorado, Greece, New York, and Bahrain,']"
DT JJ NN IN DT NNP,"['a Russian fishing vessel, the Dalniy', 'a tenth term in the Iowa', 'a speaking engagement at the Sydney', 'the top island in the UK', 'an official announcement about the Megastore,', 'the second seed in the Southwest', 'the bottom half of the Premier', 'an antitrust lawsuit from the Federal', 'a rented villa at the Sirenusa', 'the widespread belief that the Earth', 'a regular host on the BBC', 'the 2-1 defeat at The Valley,', 'an unscripted stop at a Chipotle,', 'the first leg of the Champions', 'the last hurdle for the Northrop', 'the quarterly meeting of the ICC', 'an emotional op-ed in The Boston', 'a potential showdown with the Pakistani-born', 'the first round of the Masters', 'a formal coalition with the SNP', 'the last decade on the NHS', 'a glamorous appearance at the Woman', 'the top-of-the-table clash at the Emirates', 'a cheetah exhibit at the Cleveland', 'a 7-year-old girl from a Solana', 'an all-female militia of the Islamic', 'an international row over the Hollywood', 'the first half of the Chelsea', 'any former association with the Taliban.', 'the 0-0 draw at the Vicente', 'the 100th anniversary of the Gallipoli', 'the 75th anniversary of the Battle', 'a comfortable win for the Treble-chasing', 'a key midfielder for the Gunners.', 'the electric atmosphere on the Las', 'a disabled space at a CVS']"
JJ NN IN DT NN IN,"['decent uppercut at the end of', 'free agent since the end of', 'impressive longevity at the age of', 'consensual sex with a woman without', 'Optimal syncs with a smartphone over', 'criminal confinement in the disappearance of', 'informative look into the world of', 'hidden camera in a bathroom over', 'second night in a row after', 'viral sensation after a video of', 'expensive country in the world for', 'slim model in a bikini with', 'top contender for the position after', 'self-inflicted wound in the courthouse, though', 'curvy model in a bikini with', 'sexual contact on the night in', '50-mile race with the help of', 'immediate word on the fate of', 'freak accident during a match in', 'polarizing nature of the debate over', 'fifth meeting of the season between', 'other country for a range of', 'high-level informant in the assassination of', 'voluntary manslaughter in the death of', 'key role in the formation of', 'explosion-like sound at the time of', 'own life at the age of', 'expressed concern over the lack of', 'third win of the season from', '16-year-old driver under the car for', 'light-hearted look at the world of', 'Irish student in a bathroom at', 'overseas player for the majority of', 'British sport with the signing of', 'hidden camera under the sink in', 'green raincoat on the sofa in', 'vegetarian version of the dish as']"
NN IN DT NNP NNP NNP,"['half of the Chelsea vs Arsenal', 'engagement at the Sydney Opera House,', 'stir at the Raffles International Showcase', ""cel from The Beatles' Yellow Submarine"", 'deal with the Scottish National Party', 'qualification for the European Rugby Champions', 'girl from a Solana Beach, California', 'editor of the Whole Earth Catalogue,', 'exhibit at the Cleveland Metroparks Zoo', 'hose of an Omega Air KC-707', 'atmosphere on the Las Vegas Strip', 'lawsuit from the Federal Trade Commission', 'statement through the Pat Finucane Centre', 'operation at the Great Ormond Street', 'size of an F/A-18 Super Hornet,', 'display at the Queen Victoria Museum', 'progress since the Malaysian Grand Prix', 'report by the International Longevity Centre-UK', 'ride at the Exotic Driving Experience.', 'excitement about the NatWest Twenty20 Blast,', 'member of the Wood Green Gang,', 'third in the Major League Soccer', 'customer at a Louisiana Burger King', 'fags"" for the Westboro Baptist Church.', 'leader of the Scottish National Party', 'club under the Fenway Sports Group']"
IN DT NN IN NNP NNP,"['from the party under Tony Blair,', 'with the death of John Pat', 'off the table for Dzhokhar Tsarnaev,', 'after the murder of Pennie Davis', 'In an interview with MailOnline, Nick', 'in a canal in Yuma, Arizona,', 'that the ranking of Floyd Mayweather', 'on the case of Andreas Lubitz,', 'of the night in Las Vegas.', ""On the day of Freddie Gray's"", 'in the trial of Dzhokhar Tsarnaev,', 'during the battle for North Africa.', 'at a facility in San Diego', 'after a clash with Sergio Ramos.""]', 'for the arrival of Prince George', 'in the formation of World Series', 'in the assassination of Martin Luther', 'during a review of Home Office', 'across the road from Guanghui Temple', 'with a ute on Wyee Road', ""during an appearance on ABC's Q&A"", 'in the running of Sri Lanka', 'for a reception at Sheffield Town', 'of the game with Aaron Cresswell', ""during an interview on ITV's Good"", 'in an exhibition at Stour Space', 'at the intersection of Fellmongers Road', 'on the balcony of Buckingham Palace', 'by a judge in Charlotte, North', 'about the fire at Valley Parade', 'in a creek near Marine Park', 'of a tackle by Martin Demichelis', 'at a party at Palazzo Corsini,', 'in a cave in Apulia, Italy,', 'over the death of Freddie Gray.', 'inside the library of Wayne Community']"
NNP NNP NNP NNP NNP NNP,"['County Attorney\'s""] ["" April Fools\' Day', 'Golden Retrievers, Shih Tzus, Yorkshire Terriers,', 'Albion, Hull City, Queens Park Rangers,', 'Marlon Brando, Harrison Ford, Neil Armstrong,', 'Del Fabro, Marco Silvestri, Souleymane Doukara', 'West Bromwich Albion, Hull City, Queens', 'Manchester City, Chelsea, Real Madrid, Paris', 'George Ford, Dave Attwood, Jonathan Joseph,', 'Antenucci, Giuseppe Bellusci, Dario Del Fabro,', 'Chelsea, Real Madrid, Paris St Germain,', 'Volusia County Beach Safety Ocean Rescue', 'Etiko, Audrey Blue, Cotton On, H&M,', 'Bromwich Albion, Hull City, Queens Park', 'Sydney Opera House, Professor Stephen Hawking', ""\\'TrackMan Indoor High Definition Golf Simulator\\'"", 'Perak Mufti Tan Sri Harussani Zakaria', 'Thomas Jordan Driver, David Elliot Moran,', ""Arsenal's Black Scarf Movement, Liverpool's Spirit"", ""Sergio Aguero, Chelsea's Eden Hazard, Manchester"", 'City School Board President Rodney McFarland', 'City, Chelsea, Real Madrid, Paris St', 'Maricopa County Attorney\'s""] ["" April Fools\'', 'Monroe City School Board President Rodney', 'Giuseppe Bellusci, Dario Del Fabro, Marco', 'Garbine Muguruza, Madison Brengle, Lucie Safarova,', 'Mirco Antenucci, Giuseppe Bellusci, Dario Del', 'Dario Del Fabro, Marco Silvestri, Souleymane', 'Karim Benzema, Gareth Bale, Luka Modric,', 'Michael Owen, Robbie Fowler, Steve McManaman,', ""Aguero, Chelsea's Eden Hazard, Manchester United"", 'Bellusci, Dario Del Fabro, Marco Silvestri,', 'Simona Halep, Petra Kvitova, Caroline Wozniacki,', 'Exeter City Council Leader Pete Edwards', 'Conservative Prime Minister Sir John Major']"
